"Date","Sales","Tracked Sales","Anonymous Sales"
5/1/2017,$21471036.25,$21470522.49,$513.76
5/2/2017,$21910044.86,$21908767.09,$1277.77
5/3/2017,$23521873.49,$23519670.37,$2203.12
5/4/2017,$22718652.99,$22717909.03,$743.96
5/5/2017,$22133098.84,$22132649.69,$449.15
5/6/2017,$25443894.60,$25441194.64,$2699.96
5/7/2017,$51525274.45,$51522312.04,$2962.41
5/8/2017,$21122925.71,$21122258.97,$666.74
5/9/2017,$13947204.96,$13946474.72,$730.24
5/10/2017,$13012841.24,$13012269.36,$571.88
5/11/2017,$10874540.65,$10874325.68,$214.97
5/12/2017,$14341667.98,$14341255.69,$412.29
5/13/2017,$18669558.22,$18669397.59,$160.63
5/14/2017,$16138180.20,$16137880.45,$299.75
5/15/2017,$13188584.65,$13187977.27,$607.38
5/16/2017,$10425396.08,$10423065.89,$2330.19
5/17/2017,$8584222.33,$8583491.87,$730.46
5/18/2017,$9462975.62,$9462560.91,$414.71
5/19/2017,$11848081.64,$11847663.82,$417.82
5/20/2017,$12107485.06,$12106830.26,$654.80
5/21/2017,$15598908.93,$15598317.06,$591.87
5/22/2017,$10304528.07,$10304283.09,$244.98
5/23/2017,$10045801.44,$10045341.56,$459.88
5/24/2017,$14606520.79,$14605484.70,$1036.09
5/25/2017,$14308779.45,$14307550.80,$1228.65
5/26/2017,$14392062.85,$14391765.15,$297.70
5/27/2017,$14283227.15,$14283087.21,$139.94
5/28/2017,$16758615.10,$16757455.53,$1159.57
5/29/2017,$29782392.43,$29781688.43,$704.00
5/30/2017,$11857684.41,$11857493.49,$190.92
5/31/2017,$13706684.81,$13706486.19,$198.62
6/1/2017,$11939654.38,$11938195.99,$1458.39
6/2/2017,$11409963.57,$11408488.95,$1474.62
6/3/2017,$12468029.82,$12467289.01,$740.81
6/4/2017,$16661978.59,$16660432.31,$1546.28
6/5/2017,$13156571.48,$13155196.98,$1374.50
6/6/2017,$14924479.88,$14923551.83,$928.05
6/7/2017,$16115883.64,$16115463.71,$419.93
6/8/2017,$9124858.50,$9124361.61,$496.89
