"Date","Sales","Tracked Sales","Anonymous Sales"
1/1/2015,$13501509.42,$13490656.17,$10853.25
1/2/2015,$13151166.61,$13139754.13,$11412.48
1/3/2015,$16322737.96,$16307419.48,$15318.48
1/4/2015,$15353726.70,$15341238.97,$12487.73
1/5/2015,$6874935.48,$6868845.36,$6090.12
1/6/2015,$7583720.22,$7577531.15,$6189.07
1/7/2015,$9161157.39,$9152463.17,$8694.22
1/8/2015,$10008980.78,$10001895.89,$7084.89
1/9/2015,$8985287.74,$8977750.69,$7537.05
1/10/2015,$10938416.30,$10926308.28,$12108.02
1/11/2015,$11947567.44,$11934023.46,$13543.98
1/12/2015,$6517334.95,$6512593.69,$4741.26
1/13/2015,$7021140.52,$7013277.06,$7863.46
1/14/2015,$7408112.19,$7403038.67,$5073.52
1/15/2015,$6981185.97,$6974045.70,$7140.27
1/16/2015,$9172030.30,$9162486.18,$9544.12
1/17/2015,$12367741.05,$12350768.09,$16972.96
1/18/2015,$11191632.70,$11180412.77,$11219.93
1/19/2015,$10533378.79,$10521339.11,$12039.68
1/20/2015,$6718057.03,$6711817.09,$6239.94
1/21/2015,$5901687.77,$5897277.15,$4410.62
1/22/2015,$6139333.95,$6131707.69,$7626.26
1/23/2015,$6091628.39,$6086180.70,$5447.69
1/24/2015,$6649456.17,$6642378.84,$7077.33
1/25/2015,$11003768.23,$10993254.60,$10513.63
1/26/2015,$6474201.20,$6468297.93,$5903.27
1/27/2015,$5241499.79,$5238359.38,$3140.41
1/28/2015,$10537212.02,$10535597.95,$1614.07
1/29/2015,$8385576.19,$8381496.64,$4079.55
1/30/2015,$9914971.46,$9911051.58,$3919.88
1/31/2015,$9040544.42,$9035187.44,$5356.98
2/1/2015,$12372994.94,$12367826.79,$5168.15
2/2/2015,$8054106.11,$8051254.75,$2851.36
2/3/2015,$7931270.34,$7928001.17,$3269.17
2/4/2015,$9380500.61,$9377335.12,$3165.49
2/5/2015,$7470418.91,$7467847.55,$2571.36
2/6/2015,$10260472.65,$10255991.48,$4481.17
2/7/2015,$12223499.41,$12218353.71,$5145.70
2/8/2015,$14884948.33,$14878067.79,$6880.54
2/9/2015,$10721355.64,$10716301.54,$5054.10
2/10/2015,$11732596.66,$11727921.85,$4674.81
2/11/2015,$10312717.57,$10308554.89,$4162.68
2/12/2015,$9645198.41,$9640949.84,$4248.57
2/13/2015,$9742921.33,$9735896.83,$7024.50
2/14/2015,$10751506.87,$10746755.04,$4751.83
2/15/2015,$13535280.85,$13528942.37,$6338.48
2/16/2015,$17703050.29,$17696659.58,$6390.71
2/17/2015,$7047499.80,$7037609.17,$9890.63
2/18/2015,$5231030.61,$5225642.40,$5388.21
2/19/2015,$5138332.67,$5132729.57,$5603.10
2/20/2015,$9929948.16,$9918881.21,$11066.95
2/21/2015,$14016456.05,$13998478.63,$17977.42
2/22/2015,$12420924.81,$12407665.08,$13259.73
2/23/2015,$6546616.42,$6541072.21,$5544.21
2/24/2015,$5413209.34,$5409945.83,$3263.51
2/25/2015,$11817834.71,$11804225.64,$13609.07
2/26/2015,$11673349.44,$11662139.25,$11210.19
2/27/2015,$9491924.53,$9482458.53,$9466.00
2/28/2015,$11725883.34,$11713051.04,$12832.30
3/1/2015,$17487913.09,$17467313.19,$20599.90
3/2/2015,$8544153.63,$8535036.47,$9117.16
3/3/2015,$7472380.01,$7465067.04,$7312.97
3/4/2015,$7895477.86,$7881438.40,$14039.46
3/5/2015,$7561586.18,$7552130.51,$9455.67
3/6/2015,$9159671.85,$9146818.33,$12853.52
3/7/2015,$11053792.86,$11041495.74,$12297.12
3/8/2015,$13006981.01,$12988715.59,$18265.42
3/9/2015,$7112951.61,$7104462.60,$8489.01
3/10/2015,$8123614.89,$8114864.85,$8750.04
3/11/2015,$9372602.49,$9361320.99,$11281.50
3/12/2015,$8892567.81,$8885213.83,$7353.98
3/13/2015,$10058656.37,$10046417.62,$12238.75
3/14/2015,$13085734.85,$13072884.79,$12850.06
