"Date","Sales","Tracked Sales","Anonymous Sales"
1/1/2016,$16970203.84,$16963324.82,$6879.02
1/2/2016,$20675820.37,$20669843.62,$5976.75
1/3/2016,$17410032.00,$17405406.92,$4625.08
1/4/2016,$7743989.55,$7742958.87,$1030.68
1/5/2016,$7011222.73,$7008280.94,$2941.79
1/6/2016,$9897869.07,$9893651.74,$4217.33
1/7/2016,$10375352.47,$10370395.60,$4956.87
1/8/2016,$9905600.24,$9902650.03,$2950.21
1/9/2016,$12027928.71,$12024495.03,$3433.68
1/10/2016,$14733008.32,$14728169.29,$4839.03
1/11/2016,$6149847.27,$6146882.71,$2964.56
1/12/2016,$9095297.56,$9094078.28,$1219.28
1/13/2016,$8220311.74,$8217241.84,$3069.90
1/14/2016,$8818252.79,$8815636.82,$2615.97
1/15/2016,$14652837.25,$14647261.85,$5575.40
1/16/2016,$17176755.10,$17172805.30,$3949.80
1/17/2016,$14206975.97,$14202425.14,$4550.83
1/18/2016,$12856716.17,$12854471.61,$2244.56
1/19/2016,$9451454.49,$9448956.93,$2497.56
1/20/2016,$8274466.92,$8272495.78,$1971.14
1/21/2016,$6556399.25,$6553959.93,$2439.32
1/22/2016,$6178457.30,$6177216.69,$1240.61
1/23/2016,$8109229.99,$8107670.54,$1559.45
1/24/2016,$12718932.00,$12716105.01,$2826.99
1/25/2016,$11150143.25,$11147597.11,$2546.14
1/26/2016,$5447774.32,$5445842.66,$1931.66
1/27/2016,$13695460.55,$13693645.36,$1815.19
1/28/2016,$9305821.69,$9303779.55,$2042.14
1/29/2016,$9164711.54,$9163060.70,$1650.84
1/30/2016,$11218633.11,$11217324.03,$1309.08
1/31/2016,$16662015.84,$16658158.88,$3856.96
2/1/2016,$9341619.01,$9339676.90,$1942.11
2/2/2016,$8453392.80,$8451489.81,$1902.99
2/3/2016,$11461944.72,$11459740.52,$2204.20
2/4/2016,$11135805.37,$11133663.45,$2141.92
2/5/2016,$17452095.56,$17448099.12,$3996.44
2/6/2016,$16450250.90,$16447696.42,$2554.48
2/7/2016,$17008890.85,$17004004.74,$4886.11
2/8/2016,$11100409.19,$11097024.49,$3384.70
2/9/2016,$9563905.00,$9562180.34,$1724.66
2/10/2016,$8860378.07,$8857271.54,$3106.53
2/11/2016,$10362744.44,$10361208.97,$1535.47
2/12/2016,$10679192.83,$10678001.53,$1191.30
2/13/2016,$11847051.96,$11843657.27,$3394.69
2/14/2016,$15419345.52,$15414498.50,$4847.02
2/15/2016,$18773854.76,$18769919.16,$3935.60
2/16/2016,$6832943.40,$6830728.68,$2214.72
2/17/2016,$5282553.47,$5281433.76,$1119.71
2/18/2016,$5364619.76,$5363258.55,$1361.21
2/19/2016,$16055457.45,$16052743.81,$2713.64
2/20/2016,$18753805.57,$18750335.42,$3470.15
2/21/2016,$12987232.74,$12983976.08,$3256.66
2/22/2016,$7586295.87,$7584848.64,$1447.23
2/23/2016,$6984728.47,$6983974.20,$754.27
2/24/2016,$9930577.31,$9928824.74,$1752.57
2/25/2016,$9604731.90,$9602938.09,$1793.81
2/26/2016,$8435648.04,$8433719.71,$1928.33
2/27/2016,$10623812.98,$10621737.12,$2075.86
2/28/2016,$16765409.44,$16762904.30,$2505.14
2/29/2016,$7924397.57,$7922791.11,$1606.46
3/1/2016,$9225423.19,$9224061.83,$1361.36
3/2/2016,$11544583.77,$11543614.95,$968.82
3/3/2016,$6635513.81,$6634230.73,$1283.08
3/4/2016,$11016113.31,$11014546.13,$1567.18
3/5/2016,$13152926.80,$13149814.80,$3112.00
3/6/2016,$16354967.34,$16350582.61,$4384.73
3/7/2016,$6920804.07,$6920061.29,$742.78
3/8/2016,$14451330.69,$14448720.30,$2610.39
3/9/2016,$17996408.14,$17993081.74,$3326.40
3/10/2016,$16933770.35,$16930540.40,$3229.95
3/11/2016,$16364876.25,$16362435.20,$2441.05
3/12/2016,$17721106.04,$17717237.11,$3868.93
3/13/2016,$32212441.86,$32207024.31,$5417.55
3/14/2016,$11919151.14,$11917312.33,$1838.81
3/15/2016,$6319434.93,$6317702.54,$1732.39
3/16/2016,$9939457.30,$9935684.79,$3772.51
3/17/2016,$9081048.33,$9078582.19,$2466.14
3/18/2016,$9215381.07,$9214233.05,$1148.02
3/19/2016,$10054484.99,$10053613.56,$871.43
3/20/2016,$16879964.59,$16877424.86,$2539.73
3/21/2016,$8438283.53,$8436333.36,$1950.17
3/22/2016,$15834458.74,$15832903.46,$1555.28
3/23/2016,$17687603.31,$17684328.99,$3274.32
3/24/2016,$10218533.23,$10216135.66,$2397.57
3/25/2016,$10020400.15,$10017453.25,$2946.90
3/26/2016,$12270120.94,$12268472.17,$1648.77
3/27/2016,$10703233.78,$10701715.49,$1518.29
3/28/2016,$11961189.51,$11960974.27,$215.24
3/29/2016,$12062858.10,$12060241.15,$2616.95
3/30/2016,$11917622.35,$11916131.00,$1491.35
3/31/2016,$11523900.71,$11522559.63,$1341.08
4/1/2016,$11584802.00,$11582335.09,$2466.91
4/2/2016,$13066879.42,$13064423.56,$2455.86
4/3/2016,$19578870.19,$19576480.60,$2389.59
4/4/2016,$8984797.63,$8982646.32,$2151.31
4/5/2016,$7583967.02,$7583635.84,$331.18
4/6/2016,$9919203.45,$9918142.07,$1061.38
4/7/2016,$8075364.71,$8074383.59,$981.12
4/8/2016,$11190562.78,$11188662.80,$1899.98
4/9/2016,$12109543.22,$12107293.08,$2250.14
4/10/2016,$15046671.13,$15044387.47,$2283.66
4/11/2016,$12095716.81,$12094076.66,$1640.15
4/12/2016,$10075387.93,$10073895.45,$1492.48
4/13/2016,$11043407.30,$11041952.89,$1454.41
4/14/2016,$5865035.81,$5864287.53,$748.28
