"Date","Sales","Tracked Sales","Anonymous Sales"
1/1/2014,$9046424.73,$9046424.73,$0.00
1/2/2014,$10021531.34,$10021233.88,$297.46
1/3/2014,$10231920.69,$10231654.23,$266.46
1/4/2014,$12662952.03,$12659084.95,$3867.08
1/5/2014,$10831060.60,$10830456.71,$603.89
1/6/2014,$5642005.91,$5641801.98,$203.93
1/7/2014,$4956514.99,$4956096.05,$418.94
1/8/2014,$5983025.00,$5982615.50,$409.50
1/9/2014,$6263855.37,$6263469.41,$385.96
1/10/2014,$5286035.16,$5285662.20,$372.96
1/11/2014,$5948891.95,$5948633.01,$258.94
1/12/2014,$7814774.53,$7814602.56,$171.97
1/13/2014,$4165849.56,$4165849.56,$0.00
1/14/2014,$7900189.34,$7898885.72,$1303.62
1/15/2014,$10651980.59,$10651317.26,$663.33
1/16/2014,$5890085.84,$5888527.68,$1558.16
1/17/2014,$4817556.86,$4817156.92,$399.94
1/18/2014,$5323089.40,$5322961.41,$127.99
1/19/2014,$8050041.44,$8049799.50,$241.94
1/20/2014,$8671368.97,$8671253.98,$114.99
1/21/2014,$4879975.74,$4879601.27,$374.47
1/22/2014,$5431789.53,$5431789.53,$0.00
1/23/2014,$4989109.26,$4988769.07,$340.19
1/24/2014,$7895530.22,$7894610.25,$919.97
1/25/2014,$9940105.40,$9939666.40,$439.00
1/26/2014,$7468928.42,$7468846.96,$81.46
1/27/2014,$4422009.75,$4418630.29,$3379.46
1/28/2014,$4158777.87,$4158749.87,$28.00
1/29/2014,$9644831.50,$9644442.85,$388.65
1/30/2014,$7541090.20,$7539559.59,$1530.61
1/31/2014,$7315174.37,$7315069.45,$104.92
2/1/2014,$8282774.46,$8282699.48,$74.98
2/2/2014,$11378660.40,$11378347.90,$312.50
2/3/2014,$6305664.59,$6305231.59,$433.00
2/4/2014,$6708074.12,$6707946.17,$127.95
2/5/2014,$7578760.51,$7578248.58,$511.93
2/6/2014,$6508753.67,$6508753.67,$0.00
2/7/2014,$7937987.94,$7937741.50,$246.44
2/8/2014,$10189374.34,$10188967.36,$406.98
2/9/2014,$12768921.04,$12767808.27,$1112.77
2/10/2014,$8345090.79,$8344900.79,$190.00
2/11/2014,$7791824.98,$7791674.99,$149.99
2/12/2014,$8322706.22,$8322602.25,$103.97
2/13/2014,$7356331.28,$7355928.22,$403.06
2/14/2014,$6569370.43,$6569103.53,$266.90
2/15/2014,$8448539.05,$8448324.91,$214.14
2/16/2014,$10583286.82,$10582990.40,$296.42
2/17/2014,$14889071.21,$14888162.34,$908.87
