"Date","Orders","Tracked Orders","Anonymous Orders"
1/1/2014,59455,59455,0
1/2/2014,65870,65867,3
1/3/2014,70131,70129,2
1/4/2014,83867,83865,2
1/5/2014,69707,69703,4
1/6/2014,36337,36334,3
1/7/2014,32299,32297,2
1/8/2014,40348,40347,1
1/9/2014,43101,43098,3
1/10/2014,36102,36099,3
1/11/2014,39339,39336,3
1/12/2014,50734,50732,2
1/13/2014,26796,26796,0
1/14/2014,51917,51912,5
1/15/2014,68734,68730,4
1/16/2014,39701,39692,9
1/17/2014,32861,32860,1
1/18/2014,35719,35718,1
1/19/2014,52603,52600,3
1/20/2014,57481,57480,1
1/21/2014,31654,31652,2
1/22/2014,35544,35544,0
1/23/2014,32988,32985,3
1/24/2014,51951,51945,6
1/25/2014,63168,63163,5
1/26/2014,47155,47154,1
1/27/2014,30453,30447,6
1/28/2014,27734,27733,1
1/29/2014,57252,57250,2
1/30/2014,45866,45861,5
1/31/2014,44490,44489,1
2/1/2014,48244,48242,2
2/2/2014,63595,63593,2
2/3/2014,38137,38135,2
2/4/2014,41511,41510,1
2/5/2014,47109,47107,2
2/6/2014,40988,40988,0
2/7/2014,53604,53602,2
2/8/2014,64870,64867,3
2/9/2014,79566,79559,7
2/10/2014,51791,51790,1
2/11/2014,50731,50730,1
2/12/2014,53409,53406,3
2/13/2014,46792,46789,3
2/14/2014,41873,41872,1
2/15/2014,51543,51539,4
2/16/2014,63414,63411,3
2/17/2014,88074,88068,6
2/18/2014,32772,32770,2
2/19/2014,27946,27946,0
2/20/2014,28146,28146,0
2/21/2014,53970,53969,1
2/22/2014,71277,71276,1
2/23/2014,61504,61499,5
2/24/2014,30401,30401,0
2/25/2014,28353,28353,0
2/26/2014,50522,50520,2
2/27/2014,48488,48488,0
2/28/2014,43070,43069,1
3/1/2014,50314,50312,2
3/2/2014,75378,75377,1
3/3/2014,38936,38930,6
3/4/2014,34918,34916,2
3/5/2014,38715,38712,3
3/6/2014,41040,41038,2
3/7/2014,51770,51769,1
3/8/2014,61340,61338,2
3/9/2014,72768,72764,4
3/10/2014,35675,35673,2
3/11/2014,57192,57188,4
3/12/2014,79369,79365,4
3/13/2014,41699,41697,2
3/14/2014,37817,37817,0
3/15/2014,39966,39965,1
3/16/2014,63516,63515,1
3/17/2014,33448,33447,1
3/18/2014,47642,47641,1
3/19/2014,58887,58886,1
3/20/2014,49081,49077,4
3/21/2014,49106,49104,2
3/22/2014,60296,60294,2
3/23/2014,99787,99782,5
3/24/2014,41357,41356,1
3/25/2014,32692,32692,0
3/26/2014,49285,49283,2
3/27/2014,48347,48345,2
3/28/2014,45400,45399,1
3/29/2014,53792,53789,3
3/30/2014,75205,75205,0
3/31/2014,48327,48324,3
4/1/2014,37504,37504,0
4/2/2014,67662,67658,4
4/3/2014,65076,65074,2
4/4/2014,58960,58958,2
4/5/2014,62737,62733,4
4/6/2014,90122,90121,1
4/7/2014,46766,46762,4
4/8/2014,37419,37416,3
4/9/2014,50413,50410,3
4/10/2014,44053,44053,0
4/11/2014,43637,43637,0
4/12/2014,48571,48569,2
4/13/2014,68466,68463,3
4/14/2014,39614,39613,1
4/15/2014,67155,67152,3
4/16/2014,79046,79044,2
4/17/2014,46257,46254,3
4/18/2014,46757,46757,0
4/19/2014,51984,51983,1
4/20/2014,59055,59052,3
4/21/2014,37078,37076,2
4/22/2014,35031,35029,2
4/23/2014,44927,44926,1
4/24/2014,39859,39859,0
4/25/2014,45640,45637,3
4/26/2014,47257,47256,1
4/27/2014,69632,69629,3
4/28/2014,34747,34746,1
4/29/2014,78407,78404,3
4/30/2014,93101,93096,5
5/1/2014,76153,76152,1
5/2/2014,72710,72707,3
5/3/2014,82549,82546,3
5/4/2014,127237,127227,10
5/5/2014,133960,133954,6
5/6/2014,65348,65340,8
5/7/2014,48377,48377,0
5/8/2014,47923,47920,3
5/9/2014,57590,57586,4
5/10/2014,69499,69495,4
5/11/2014,64027,64025,2
5/12/2014,40733,40730,3
5/13/2014,35659,35656,3
5/14/2014,56470,56470,0
5/15/2014,50749,50748,1
5/16/2014,51101,51098,3
5/17/2014,47251,47250,1
5/18/2014,68798,68795,3
5/19/2014,41860,41857,3
5/20/2014,31856,31855,1
5/21/2014,56677,56677,0
5/22/2014,54352,54348,4
5/23/2014,49635,49632,3
5/24/2014,47615,47612,3
5/25/2014,59958,59956,2
5/26/2014,103761,103751,10
5/27/2014,40079,40076,3
5/28/2014,32297,32293,4
5/29/2014,30413,30411,2
5/30/2014,49482,49480,2
5/31/2014,58731,58727,4
6/1/2014,70517,70515,2
6/2/2014,35717,35716,1
6/3/2014,66953,66952,1
6/4/2014,81103,81101,2
6/5/2014,66906,66900,6
6/6/2014,65088,65088,0
6/7/2014,62966,62964,2
6/8/2014,86931,86921,10
6/9/2014,121950,121948,2
6/10/2014,54203,54201,2
6/11/2014,44283,44283,0
6/12/2014,42661,42658,3
6/13/2014,69060,69056,4
6/14/2014,84772,84769,3
6/15/2014,60613,60611,2
6/16/2014,39986,39984,2
6/17/2014,33503,33500,3
6/18/2014,49254,49254,0
6/19/2014,45789,45787,2
