"Date","Orders","Tracked Orders","Anonymous Orders"
6/20/2014,43780,43779,1
6/21/2014,41060,41060,0
6/22/2014,58360,58358,2
6/23/2014,38170,38170,0
6/24/2014,33815,33814,1
6/25/2014,43431,43431,0
6/26/2014,41756,41754,2
6/27/2014,53508,53507,1
6/28/2014,64339,64336,3
6/29/2014,61200,61199,1
6/30/2014,49235,49235,0
7/1/2014,46589,46588,1
7/2/2014,47126,47123,3
7/3/2014,50499,50498,1
7/4/2014,52908,52904,4
7/5/2014,51067,51061,6
7/6/2014,77070,77067,3
7/7/2014,41082,41081,1
7/8/2014,29995,29992,3
7/9/2014,36354,36353,1
7/10/2014,31606,31606,0
7/11/2014,55143,55140,3
7/12/2014,68566,68563,3
7/13/2014,59340,59338,2
7/14/2014,34762,34762,0
7/15/2014,31430,31429,1
7/16/2014,44230,44228,2
7/17/2014,44364,44361,3
7/18/2014,48763,48761,2
7/19/2014,54178,54173,5
7/20/2014,65389,65386,3
7/21/2014,44422,44419,3
7/22/2014,32734,32733,1
7/23/2014,55272,55269,3
7/24/2014,46335,46334,1
7/25/2014,47736,47736,0
7/26/2014,42493,42493,0
7/27/2014,66323,66323,0
7/28/2014,44009,44007,2
7/29/2014,38641,38640,1
7/30/2014,37328,37327,1
7/31/2014,40090,40087,3
8/1/2014,40393,40393,0
8/2/2014,43384,43382,2
8/3/2014,53137,53133,4
8/4/2014,45154,45149,5
8/5/2014,39626,39624,2
8/6/2014,46897,46894,3
8/7/2014,46489,46488,1
8/8/2014,52088,52086,2
8/9/2014,60123,60121,2
8/10/2014,71390,71386,4
8/11/2014,45363,45362,1
8/12/2014,37716,37714,2
8/13/2014,40195,40192,3
8/14/2014,39399,39397,2
8/15/2014,59430,59428,2
8/16/2014,72382,72378,4
8/17/2014,66818,66810,8
8/18/2014,39915,39913,2
8/19/2014,39298,39292,6
8/20/2014,37189,37189,0
8/21/2014,41696,41695,1
8/22/2014,41297,41296,1
8/23/2014,55871,55868,3
8/24/2014,53642,53640,2
8/25/2014,40754,40751,3
8/26/2014,39164,39163,1
8/27/2014,50928,50926,2
8/28/2014,49649,49647,2
8/29/2014,51434,51432,2
8/30/2014,67530,67529,1
8/31/2014,66411,66409,2
9/1/2014,101860,101854,6
9/2/2014,39751,39748,3
9/3/2014,30632,30631,1
9/4/2014,29766,29764,2
9/5/2014,57566,57564,2
9/6/2014,77295,77292,3
9/7/2014,72626,72623,3
9/8/2014,36476,36474,2
9/9/2014,30513,30513,0
9/10/2014,40807,40804,3
9/11/2014,40985,40985,0
9/12/2014,41833,41832,1
9/13/2014,46800,46800,0
9/14/2014,68515,68514,1
9/15/2014,55821,55821,0
9/16/2014,52690,52687,3
9/17/2014,55439,55437,2
9/18/2014,48973,48972,1
9/19/2014,48919,48917,2
9/20/2014,55149,55147,2
9/21/2014,91546,91541,5
9/22/2014,39819,39818,1
9/23/2014,33450,33450,0
9/24/2014,45153,45153,0
9/25/2014,40577,40574,3
9/26/2014,46210,46207,3
9/27/2014,54947,54940,7
9/28/2014,70156,70150,6
9/29/2014,40381,40379,2
9/30/2014,37821,37821,0
10/1/2014,53972,53968,4
10/2/2014,46987,46984,3
10/3/2014,45972,45970,2
10/4/2014,50849,50846,3
10/5/2014,76310,76306,4
10/6/2014,48687,48686,1
10/7/2014,42459,42459,0
10/8/2014,60155,60152,3
10/9/2014,56156,56155,1
10/10/2014,57227,57226,1
10/11/2014,75480,75479,1
10/12/2014,78070,78065,5
10/13/2014,101304,101303,1
10/14/2014,39814,39813,1
10/15/2014,36099,36098,1
10/16/2014,27723,27721,2
10/17/2014,59444,59442,2
10/18/2014,81185,81181,4
10/19/2014,66964,66960,4
10/20/2014,37285,37282,3
10/21/2014,51837,51835,2
10/22/2014,52003,51999,4
10/23/2014,49576,49576,0
10/24/2014,55809,55807,2
10/25/2014,67954,67952,2
10/26/2014,87532,87529,3
10/27/2014,42225,42225,0
10/28/2014,53000,52999,1
10/29/2014,54281,54280,1
10/30/2014,48357,48356,1
10/31/2014,48244,48240,4
11/1/2014,63915,63913,2
11/2/2014,90822,90818,4
11/3/2014,58909,58905,4
11/4/2014,65468,65465,3
11/5/2014,71897,71896,1
11/6/2014,68214,68212,2
11/7/2014,70699,70695,4
11/8/2014,86890,86890,0
11/9/2014,128967,128962,5
11/10/2014,87292,87291,1
11/11/2014,123389,123386,3
11/12/2014,64926,64921,5
11/13/2014,66693,66687,6
11/14/2014,59743,59742,1
11/15/2014,69780,69777,3
11/16/2014,108453,108449,4
11/17/2014,52149,52143,6
11/18/2014,162056,162051,5
11/19/2014,235822,235819,3
11/20/2014,87055,87052,3
11/21/2014,78819,78814,5
11/22/2014,114541,114536,5
11/23/2014,106342,106338,4
11/24/2014,69881,69873,8
11/25/2014,66912,66902,10
11/26/2014,79763,79751,12
11/27/2014,299689,299683,6
11/28/2014,515506,515491,15
11/29/2014,300869,300863,6
11/30/2014,301367,301362,5
12/1/2014,631144,631122,22
12/2/2014,257892,257880,12
12/3/2014,198371,198353,18
12/4/2014,165943,165930,13
12/5/2014,168780,168701,79
12/6/2014,207153,207051,102
12/7/2014,237228,237101,127
12/8/2014,372209,372014,195
12/9/2014,178983,178883,100
12/10/2014,186276,186176,100
12/11/2014,133257,133170,87
12/12/2014,147436,147346,90
12/13/2014,198564,198412,152
12/14/2014,193731,193588,143
12/15/2014,173156,173053,103
12/16/2014,189194,189070,124
12/17/2014,174032,173906,126
12/18/2014,190874,190704,170
12/19/2014,160180,160013,167
12/20/2014,166388,166199,189
12/21/2014,121219,121106,113
12/22/2014,100918,100812,106
12/23/2014,60866,60819,47
12/24/2014,46847,46786,61
12/25/2014,81804,81703,101
12/26/2014,171852,171699,153
12/27/2014,147551,147379,172
12/28/2014,109943,109823,120
12/29/2014,90167,90095,72
12/30/2014,84641,84563,78
12/31/2014,73795,73723,72
