"Date","Orders","Tracked Orders","Anonymous Orders"
1/1/2016,150633,150563,70
1/2/2016,182567,182500,67
1/3/2016,123891,123854,37
1/4/2016,54411,54401,10
1/5/2016,49273,49251,22
1/6/2016,69373,69341,32
1/7/2016,72265,72240,25
1/8/2016,73262,73242,20
1/9/2016,91832,91800,32
1/10/2016,105263,105228,35
1/11/2016,43463,43441,22
1/12/2016,56437,56427,10
1/13/2016,57783,57757,26
1/14/2016,61876,61861,15
1/15/2016,128403,128345,58
1/16/2016,147076,147032,44
1/17/2016,102077,102049,28
1/18/2016,93659,93636,23
1/19/2016,73039,73019,20
1/20/2016,66206,66189,17
1/21/2016,47262,47246,16
1/22/2016,44047,44034,13
1/23/2016,55643,55629,14
1/24/2016,83624,83602,22
1/25/2016,67943,67923,20
1/26/2016,38227,38211,16
1/27/2016,74386,74371,15
1/28/2016,62590,62575,15
1/29/2016,61990,61975,15
1/30/2016,68404,68392,12
1/31/2016,102098,102068,30
2/1/2016,62356,62340,16
2/2/2016,59550,59531,19
2/3/2016,76687,76671,16
2/4/2016,74178,74157,21
2/5/2016,133005,132977,28
2/6/2016,116396,116372,24
2/7/2016,115158,115121,37
2/8/2016,73820,73793,27
2/9/2016,64804,64792,12
2/10/2016,61442,61424,18
2/11/2016,72619,72602,17
2/12/2016,74523,74509,14
2/13/2016,79704,79673,31
2/14/2016,104805,104761,44
2/15/2016,125946,125917,29
2/16/2016,45999,45983,16
2/17/2016,37601,37591,10
2/18/2016,36882,36874,8
2/19/2016,143194,143161,33
2/20/2016,164224,164185,39
2/21/2016,90306,90276,30
2/22/2016,46101,46088,13
2/23/2016,45482,45475,7
2/24/2016,64370,64357,13
2/25/2016,62693,62678,15
2/26/2016,55858,55844,14
2/27/2016,67171,67152,19
2/28/2016,102838,102825,13
2/29/2016,55495,55480,15
3/1/2016,72213,72197,16
3/2/2016,91029,91019,10
3/3/2016,47457,47445,12
3/4/2016,79717,79701,16
3/5/2016,94545,94517,28
3/6/2016,112698,112667,31
3/7/2016,49753,49746,7
3/8/2016,81428,81414,14
3/9/2016,99797,99774,23
3/10/2016,95027,95011,16
3/11/2016,91906,91892,14
3/12/2016,99382,99354,28
3/13/2016,168472,168442,30
3/14/2016,63468,63453,15
3/15/2016,41075,41065,10
3/16/2016,63729,63716,13
3/17/2016,58287,58267,20
3/18/2016,60168,60158,10
3/19/2016,63548,63542,6
3/20/2016,100556,100536,20
3/21/2016,60244,60233,11
3/22/2016,153206,153186,20
3/23/2016,165671,165633,38
3/24/2016,83918,83898,20
3/25/2016,77607,77584,23
3/26/2016,93242,93229,13
3/27/2016,75089,75078,11
3/28/2016,87597,87594,3
3/29/2016,86473,86454,19
3/30/2016,84236,84219,17
3/31/2016,80845,80830,15
4/1/2016,89352,89331,21
4/2/2016,97598,97579,19
4/3/2016,140281,140259,22
4/4/2016,59226,59209,17
4/5/2016,48089,48086,3
4/6/2016,66257,66246,11
4/7/2016,57196,57189,7
4/8/2016,75380,75367,13
4/9/2016,81369,81354,15
4/10/2016,100587,100567,20
4/11/2016,76757,76747,10
4/12/2016,62711,62701,10
4/13/2016,69155,69143,12
4/14/2016,38889,38882,7
4/15/2016,127751,127728,23
4/16/2016,162195,162169,26
4/17/2016,93542,93528,14
4/18/2016,65194,65183,11
4/19/2016,74910,74897,13
4/20/2016,59391,59379,12
4/21/2016,56806,56799,7
4/22/2016,57913,57909,4
4/23/2016,68051,68041,10
4/24/2016,182561,182530,31
4/25/2016,144623,144600,23
4/26/2016,132787,132761,26
4/27/2016,131139,131121,18
4/28/2016,116699,116674,25
4/29/2016,131235,131218,17
4/30/2016,151660,151641,19
5/1/2016,214156,214123,33
5/2/2016,214312,214276,36
5/3/2016,212737,212712,25
5/4/2016,87970,87961,9
5/5/2016,63375,63359,16
5/6/2016,122636,122613,23
5/7/2016,143730,143694,36
5/8/2016,93152,93113,39
5/9/2016,51074,51066,8
5/10/2016,61511,61506,5
5/11/2016,64303,64294,9
5/12/2016,58216,58206,10
5/13/2016,63502,63494,8
5/14/2016,63940,63921,19
5/15/2016,93180,93159,21
5/16/2016,53600,53590,10
5/17/2016,74503,74494,9
5/18/2016,93305,93290,15
5/19/2016,55001,54995,6
5/20/2016,75305,75291,14
5/21/2016,84612,84593,19
5/22/2016,115630,115605,25
5/23/2016,66087,66073,14
5/24/2016,54212,54200,12
5/25/2016,98841,98830,11
5/26/2016,91028,91012,16
5/27/2016,86724,86713,11
5/28/2016,93249,93235,14
5/29/2016,118101,118078,23
5/30/2016,191100,191075,25
5/31/2016,62669,62661,8
6/1/2016,91556,91539,17
6/2/2016,80056,80043,13
6/3/2016,76509,76500,9
6/4/2016,81503,81487,16
6/5/2016,106799,106784,15
6/6/2016,79047,79039,8
6/7/2016,89556,89542,14
6/8/2016,103666,103654,12
6/9/2016,55121,55111,10
6/10/2016,88699,88688,11
6/11/2016,90340,90326,14
6/12/2016,245768,245742,26
6/13/2016,93798,93778,20
6/14/2016,62361,62344,17
6/15/2016,58280,58268,12
6/16/2016,61687,61682,5
6/17/2016,167755,167729,26
6/18/2016,184707,184671,36
6/19/2016,94291,94266,25
6/20/2016,65437,65427,10
6/21/2016,69743,69727,16
6/22/2016,61548,61543,5
6/23/2016,57455,57445,10
6/24/2016,58177,58172,5
6/25/2016,57747,57738,9
6/26/2016,81045,81036,9
6/27/2016,55717,55709,8
6/28/2016,44009,43999,10
6/29/2016,88041,88024,17
6/30/2016,81552,81538,14
7/1/2016,85844,85833,11
7/2/2016,85366,85352,14
7/3/2016,94604,94589,15
7/4/2016,129238,129216,22
7/5/2016,54152,54142,10
7/6/2016,43610,43605,5
7/7/2016,42612,42608,4
7/8/2016,119527,119508,19
7/9/2016,136723,136704,19
7/10/2016,86295,86283,12
7/11/2016,51905,51895,10
7/12/2016,225530,225505,25
7/13/2016,132386,132372,14
7/14/2016,99148,99134,14
7/15/2016,104771,104756,15
7/16/2016,100084,100075,9
7/17/2016,148212,148191,21
7/18/2016,58632,58620,12
7/19/2016,34429,34423,6
7/20/2016,69217,69214,3
7/21/2016,63614,63607,7
7/22/2016,64347,64341,6
7/23/2016,66671,66665,6
7/24/2016,82674,82658,16
7/25/2016,68716,68705,11
7/26/2016,71284,71275,9
7/27/2016,57069,57058,11
7/28/2016,52803,52798,5
7/29/2016,55140,55136,4
7/30/2016,63576,63566,10
7/31/2016,83385,83371,14
8/1/2016,68776,68767,9
8/2/2016,60098,60093,5
8/3/2016,61460,61454,6
8/4/2016,58078,58074,4
8/5/2016,152919,152899,20
8/6/2016,173909,173888,21
8/7/2016,98760,98743,17
8/8/2016,54918,54910,8
8/9/2016,48804,48796,8
8/10/2016,75803,75796,7
8/11/2016,86523,86514,9
8/12/2016,71665,71659,6
8/13/2016,72610,72599,11
8/14/2016,84882,84871,11
8/15/2016,51482,51479,3
8/16/2016,63656,63649,7
8/17/2016,67518,67513,5
8/18/2016,70649,70636,13
8/19/2016,60614,60596,18
8/20/2016,62234,62224,10
8/21/2016,78219,78207,12
8/22/2016,50698,50690,8
8/23/2016,110889,110874,15
8/24/2016,119208,119194,14
8/25/2016,57797,57786,11
8/26/2016,57169,57164,5
8/27/2016,59703,59696,7
8/28/2016,80987,80974,13
8/29/2016,56121,56102,19
8/30/2016,48209,48205,4
8/31/2016,77005,76995,10
9/1/2016,79815,79806,9
9/2/2016,80136,80127,9
9/3/2016,95822,95807,15
9/4/2016,103061,103053,8
9/5/2016,163825,163804,21
9/6/2016,62305,62296,9
9/7/2016,47698,47696,2
9/8/2016,44481,44475,6
9/9/2016,136401,136382,19
9/10/2016,162207,162188,19
9/11/2016,91053,91047,6
9/12/2016,38650,38641,9
9/13/2016,103294,103285,9
9/14/2016,102327,102324,3
9/15/2016,91865,91857,8
9/16/2016,86309,86304,5
9/17/2016,102276,102265,11
9/18/2016,171248,171227,21
9/19/2016,74075,74060,15
9/20/2016,50201,50193,8
9/21/2016,60514,60509,5
9/22/2016,56410,56398,12
9/23/2016,63601,63589,12
9/24/2016,74020,74010,10
9/25/2016,94945,94924,21
9/26/2016,79678,79664,14
9/27/2016,50567,50565,2
9/28/2016,136882,136865,17
9/29/2016,124635,124625,10
9/30/2016,115265,115258,7
10/1/2016,125535,125521,14
10/2/2016,187645,187629,16
10/3/2016,83530,83520,10
10/4/2016,76612,76604,8
10/5/2016,88809,88800,9
10/6/2016,78199,78189,10
10/7/2016,78663,78653,10
10/8/2016,93983,93972,11
10/9/2016,121356,121342,14
10/10/2016,142249,142239,10
10/11/2016,66635,66630,5
10/12/2016,87011,87002,9
10/13/2016,83515,83509,6
10/14/2016,84502,84498,4
10/15/2016,84428,84399,29
10/16/2016,127594,127571,23
10/17/2016,61414,61406,8
10/18/2016,83574,83566,8
10/19/2016,98893,98879,14
10/20/2016,55959,55947,12
10/21/2016,133452,133439,13
10/22/2016,178015,177991,24
10/23/2016,101903,101890,13
10/24/2016,50880,50874,6
10/25/2016,110424,110409,15
10/26/2016,125724,125715,9
10/27/2016,88286,88281,5
10/28/2016,91501,91489,12
10/29/2016,96041,96037,4
10/30/2016,105740,105730,10
10/31/2016,56651,56648,3
11/1/2016,90253,90243,10
11/2/2016,94174,94157,17
11/3/2016,96580,96570,10
11/4/2016,95778,95761,17
11/5/2016,116608,116603,5
11/6/2016,120883,120869,14
11/7/2016,103350,103339,11
11/8/2016,86561,86546,15
11/9/2016,94509,94497,12
11/10/2016,113648,113638,10
11/11/2016,129047,129031,16
11/12/2016,135713,135697,16
11/13/2016,321084,321061,23
11/14/2016,115392,115380,12
11/15/2016,118846,118839,7
11/16/2016,160165,160150,15
11/17/2016,207967,207936,31
11/18/2016,197229,197207,22
11/19/2016,281254,281219,35
