"Date","Orders","Tracked Orders","Anonymous Orders"
11/20/2016,150685,150669,16
11/21/2016,93797,93792,5
11/22/2016,90809,90805,4
11/23/2016,353498,353463,35
11/24/2016,495731,495694,37
11/25/2016,615645,615586,59
11/26/2016,527846,527800,46
11/27/2016,443420,443377,43
11/28/2016,890059,889997,62
11/29/2016,339210,339181,29
11/30/2016,301212,301188,24
12/1/2016,256997,256978,19
12/2/2016,265469,265406,63
12/3/2016,278432,278399,33
12/4/2016,300373,300334,39
12/5/2016,265291,265268,23
12/6/2016,252266,252253,13
12/7/2016,267743,267723,20
12/8/2016,392777,392739,38
12/9/2016,306489,306460,29
12/10/2016,335689,335653,36
12/11/2016,312572,312542,30
12/12/2016,327660,327636,24
12/13/2016,253544,253523,21
12/14/2016,282750,282724,26
12/15/2016,210985,210956,29
12/16/2016,376303,376260,43
12/17/2016,412154,412115,39
12/18/2016,269614,269586,28
12/19/2016,242263,242231,32
12/20/2016,223217,223192,25
12/21/2016,184224,184205,19
12/22/2016,110721,110702,19
12/23/2016,117223,117195,28
12/24/2016,91343,91303,40
12/25/2016,112661,112588,73
12/26/2016,234427,234384,43
12/27/2016,223921,223881,40
12/28/2016,154638,154616,22
12/29/2016,140770,140759,11
12/30/2016,132588,132570,18
12/31/2016,116302,116285,17
