"Date","Orders","Tracked Orders","Anonymous Orders"
5/21/2015,69151,69021,130
5/22/2015,63578,63422,156
5/23/2015,60435,60305,130
5/24/2015,78581,78406,175
5/25/2015,131936,131716,220
5/26/2015,50264,50170,94
5/27/2015,34507,34465,42
5/28/2015,32935,32880,55
5/29/2015,59217,59134,83
5/30/2015,67767,67648,119
5/31/2015,92314,92170,144
6/1/2015,43796,43717,79
6/2/2015,36096,36036,60
6/3/2015,76485,76360,125
6/4/2015,66198,66094,104
6/5/2015,67338,67234,104
6/6/2015,71318,71133,185
6/7/2015,122204,121974,230
6/8/2015,56786,56640,146
6/9/2015,50608,50517,91
6/10/2015,54811,54751,60
6/11/2015,52630,52522,108
6/12/2015,66684,66568,116
6/13/2015,64575,64444,131
6/14/2015,149559,149310,249
6/15/2015,73748,73592,156
6/16/2015,55811,55728,83
6/17/2015,50391,50322,69
6/18/2015,53416,53316,100
6/19/2015,89975,89737,238
6/20/2015,106518,106245,273
6/21/2015,72970,72812,158
6/22/2015,38463,38396,67
6/23/2015,36130,36066,64
6/24/2015,48066,48001,65
6/25/2015,44019,43949,70
6/26/2015,56818,56735,83
6/27/2015,67916,67787,129
6/28/2015,71204,71057,147
6/29/2015,62804,62670,134
6/30/2015,58294,58218,76
7/1/2015,56238,56146,92
7/2/2015,66338,66202,136
7/3/2015,68095,67965,130
7/4/2015,72230,72098,132
7/5/2015,99535,99341,194
7/6/2015,44219,44130,89
7/7/2015,33806,33752,54
7/8/2015,38341,38256,85
7/9/2015,37153,37074,79
7/10/2015,75810,75656,154
7/11/2015,85170,84965,205
7/12/2015,72407,72267,140
7/13/2015,41654,41586,68
7/14/2015,31542,31484,58
7/15/2015,260144,259404,740
7/16/2015,79220,79047,173
7/17/2015,55585,55471,114
7/18/2015,62137,62007,130
7/19/2015,78617,78452,165
7/20/2015,44741,44676,65
7/21/2015,36370,36306,64
7/22/2015,69358,69238,120
7/23/2015,54081,53984,97
7/24/2015,54461,54364,97
7/25/2015,50695,50594,101
7/26/2015,76218,76076,142
7/27/2015,46637,46542,95
7/28/2015,47287,47225,62
7/29/2015,49310,49234,76
7/30/2015,49273,49175,98
7/31/2015,47924,47814,110
8/1/2015,52664,52565,99
8/2/2015,75407,75271,136
8/3/2015,51349,51248,101
8/4/2015,42652,42578,74
8/5/2015,50902,50827,75
8/6/2015,45686,45589,97
8/7/2015,58952,58840,112
8/8/2015,67608,67456,152
8/9/2015,91274,91082,192
8/10/2015,50835,50751,84
8/11/2015,48088,48036,52
8/12/2015,46610,46545,65
8/13/2015,40028,39955,73
8/14/2015,78094,77933,161
8/15/2015,100529,100289,240
8/16/2015,72280,72116,164
8/17/2015,42355,42290,65
8/18/2015,149419,149011,408
8/19/2015,53470,53358,112
8/20/2015,48103,47996,107
8/21/2015,44511,44412,99
8/22/2015,46311,46229,82
8/23/2015,67510,67377,133
8/24/2015,43892,43796,96
8/25/2015,45080,45000,80
8/26/2015,49720,49634,86
8/27/2015,44712,44640,72
8/28/2015,47364,47287,77
8/29/2015,62120,62019,101
8/30/2015,73329,73202,127
8/31/2015,45858,45778,80
9/1/2015,35550,35505,45
9/2/2015,70750,70635,115
9/3/2015,57742,57615,127
9/4/2015,65886,65755,131
9/5/2015,82989,82801,188
9/6/2015,78875,78654,221
9/7/2015,113764,113514,250
9/8/2015,42373,42303,70
9/9/2015,34568,34522,46
9/10/2015,31521,31466,55
9/11/2015,83939,83727,212
9/12/2015,107055,106815,240
9/13/2015,69156,69027,129
9/14/2015,48247,48146,101
9/15/2015,44511,44442,69
9/16/2015,56850,56759,91
9/17/2015,49498,49418,80
9/18/2015,48669,48568,101
9/19/2015,56285,56146,139
9/20/2015,99261,99069,192
9/21/2015,41707,41614,93
9/22/2015,33765,33705,60
9/23/2015,45788,45718,70
9/24/2015,41599,41536,63
9/25/2015,54590,54474,116
9/26/2015,62418,62287,131
9/27/2015,85050,84881,169
9/28/2015,48178,48102,76
9/29/2015,42994,42922,72
9/30/2015,88237,88183,54
10/1/2015,69796,69736,60
10/2/2015,64113,64064,49
10/3/2015,80822,80736,86
10/4/2015,106270,106174,96
10/5/2015,97582,97526,56
10/6/2015,98439,98393,46
10/7/2015,84727,84664,63
10/8/2015,65717,65676,41
10/9/2015,65512,65458,54
10/10/2015,88703,88652,51
10/11/2015,97162,97089,73
10/12/2015,121077,121000,77
10/13/2015,58813,58789,24
10/14/2015,61248,61204,44
10/15/2015,61950,61914,36
10/16/2015,59194,59172,22
10/17/2015,77451,77411,40
10/18/2015,131195,131112,83
10/19/2015,63273,63238,35
10/20/2015,61282,61260,22
10/21/2015,45976,45942,34
10/22/2015,74243,74216,27
10/23/2015,143981,143868,113
10/24/2015,168702,168599,103
10/25/2015,92866,92799,67
10/26/2015,50468,50447,21
10/27/2015,156348,156259,89
10/28/2015,82319,82277,42
10/29/2015,67839,67781,58
10/30/2015,69388,69355,33
10/31/2015,78528,78471,57
11/1/2015,79683,79633,50
11/2/2015,76540,76506,34
11/3/2015,74020,73982,38
11/4/2015,77900,77866,34
11/5/2015,67375,67348,27
11/6/2015,77347,77307,40
11/7/2015,100482,100435,47
11/8/2015,171461,171390,71
11/9/2015,94426,94381,45
11/10/2015,96494,96460,34
11/11/2015,125131,125081,50
11/12/2015,63950,63927,23
11/13/2015,54896,54873,23
11/14/2015,66960,66930,30
11/15/2015,102157,102112,45
11/16/2015,198734,198646,88
11/17/2015,227881,227786,95
11/18/2015,299286,299169,117
11/19/2015,99089,99049,40
11/20/2015,80007,79969,38
11/21/2015,114387,114350,37
11/22/2015,101955,101923,32
11/23/2015,76278,76242,36
11/24/2015,75894,75873,21
11/25/2015,278383,278327,56
11/26/2015,395716,395598,118
11/27/2015,664837,664648,189
11/28/2015,424020,423915,105
11/29/2015,377101,377021,80
11/30/2015,766811,766662,149
12/1/2015,287473,287398,75
12/2/2015,207896,207804,92
12/3/2015,176034,175977,57
12/4/2015,185799,185735,64
12/5/2015,287858,287741,117
12/6/2015,294339,294264,75
12/7/2015,260381,260315,66
12/8/2015,241782,241734,48
12/9/2015,266574,266492,82
12/10/2015,376989,376880,109
12/11/2015,240909,240827,82
12/12/2015,263436,263341,95
12/13/2015,270741,270651,90
12/14/2015,321235,321120,115
12/15/2015,231594,231525,69
12/16/2015,210908,210840,68
12/17/2015,206746,206683,63
12/18/2015,270682,270588,94
12/19/2015,258665,258571,94
12/20/2015,164017,163960,57
12/21/2015,155025,154979,46
12/22/2015,148953,148911,42
12/23/2015,125785,125750,35
12/24/2015,56684,56643,41
12/25/2015,123345,123224,121
12/26/2015,230092,229984,108
12/27/2015,219176,219086,90
12/28/2015,129472,129421,51
12/29/2015,98321,98288,33
12/30/2015,92010,91972,38
12/31/2015,92870,92842,28
