"Date","Orders","Tracked Orders","Anonymous Orders"
1/1/2015,90467,90381,86
1/2/2015,93832,93743,89
1/3/2015,113189,113063,126
1/4/2015,101682,101582,100
1/5/2015,47138,47086,52
1/6/2015,49274,49229,45
1/7/2015,61259,61195,64
1/8/2015,69187,69129,58
1/9/2015,66117,66054,63
1/10/2015,78375,78278,97
1/11/2015,83527,83431,96
1/12/2015,43609,43572,37
1/13/2015,45725,45667,58
1/14/2015,49881,49841,40
1/15/2015,47180,47128,52
1/16/2015,63945,63869,76
1/17/2015,81908,81799,109
1/18/2015,74264,74180,84
1/19/2015,72593,72515,78
1/20/2015,44414,44365,49
1/21/2015,38610,38581,29
1/22/2015,41603,41556,47
1/23/2015,40712,40669,43
1/24/2015,43078,43035,43
1/25/2015,68224,68143,81
1/26/2015,42014,41975,39
1/27/2015,34885,34863,22
1/28/2015,66658,66642,16
1/29/2015,56314,56289,25
1/30/2015,67249,67223,26
1/31/2015,57641,57604,37
2/1/2015,74801,74754,47
2/2/2015,51018,50994,24
2/3/2015,50683,50654,29
2/4/2015,60145,60120,25
2/5/2015,47965,47942,23
2/6/2015,69538,69502,36
2/7/2015,80009,79975,34
2/8/2015,94732,94696,36
2/9/2015,68613,68576,37
2/10/2015,77270,77236,34
2/11/2015,68120,68088,32
2/12/2015,64003,63973,30
2/13/2015,64124,64095,29
2/14/2015,67486,67446,40
2/15/2015,87523,87483,40
2/16/2015,112795,112744,51
2/17/2015,45559,45484,75
2/18/2015,35123,35090,33
2/19/2015,34401,34360,41
2/20/2015,68975,68887,88
2/21/2015,92536,92393,143
2/22/2015,77245,77142,103
2/23/2015,38365,38326,39
2/24/2015,35092,35065,27
2/25/2015,64741,64649,92
2/26/2015,64968,64906,62
2/27/2015,54018,53952,66
2/28/2015,65747,65671,76
3/1/2015,97359,97221,138
3/2/2015,53612,53543,69
3/3/2015,46236,46179,57
3/4/2015,58239,58119,120
3/5/2015,51774,51698,76
3/6/2015,64366,64279,87
3/7/2015,74835,74740,95
3/8/2015,86320,86180,140
3/9/2015,46094,46043,51
3/10/2015,51253,51188,65
3/11/2015,57971,57898,73
3/12/2015,54455,54393,62
3/13/2015,69035,68948,87
3/14/2015,86559,86459,100
3/15/2015,74868,74792,76
3/16/2015,37836,37797,39
3/17/2015,57766,57687,79
3/18/2015,72014,71928,86
3/19/2015,61187,61120,67
3/20/2015,73406,73332,74
3/21/2015,84758,84643,115
3/22/2015,112436,112310,126
3/23/2015,55608,55549,59
3/24/2015,41087,41039,48
3/25/2015,62021,61919,102
3/26/2015,58816,58733,83
3/27/2015,52968,52890,78
3/28/2015,65495,65399,96
3/29/2015,86613,86478,135
3/30/2015,49639,49575,64
3/31/2015,88068,87927,141
4/1/2015,92334,92163,171
4/2/2015,65961,65859,102
4/3/2015,91180,91050,130
4/4/2015,105140,104985,155
4/5/2015,61626,61524,102
4/6/2015,64418,64323,95
4/7/2015,73462,73293,169
4/8/2015,63490,63404,86
4/9/2015,59583,59509,74
4/10/2015,62103,62012,91
4/11/2015,73075,72957,118
4/12/2015,88190,88028,162
4/13/2015,63738,63631,107
4/14/2015,77355,77237,118
4/15/2015,50929,50834,95
4/16/2015,42363,42285,78
4/17/2015,74263,74095,168
4/18/2015,94020,93822,198
4/19/2015,83421,83257,164
4/20/2015,41082,41025,57
4/21/2015,38149,38095,54
4/22/2015,58221,58116,105
4/23/2015,55505,55437,68
4/24/2015,49240,49141,99
4/25/2015,61851,61739,112
4/26/2015,127471,127275,196
4/27/2015,98060,97920,140
4/28/2015,79625,79454,171
4/29/2015,86167,86038,129
4/30/2015,83597,83432,165
5/1/2015,87209,87047,162
5/2/2015,91756,91596,160
5/3/2015,136514,136290,224
5/4/2015,164068,163834,234
5/5/2015,81063,80936,127
5/6/2015,62551,62426,125
5/7/2015,52008,51911,97
5/8/2015,80006,79842,164
5/9/2015,92405,92160,245
5/10/2015,77063,76900,163
5/11/2015,46669,46605,64
5/12/2015,49648,49596,52
5/13/2015,62831,62704,127
5/14/2015,59117,59024,93
5/15/2015,57993,57910,83
5/16/2015,58318,58209,109
5/17/2015,84658,84532,126
5/18/2015,52667,52588,79
5/19/2015,37284,37232,52
5/20/2015,75428,75316,112
